Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,kernel,C,class_weight,gamma,degree,coef0,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
35,35,0,1dpos,raw,onehot,SV,,,rbf,2.792931705,balanced,0.060618957,,,0.530705673,0.090112593,0.57845424,0.001174418,0.289741056,0.122760396,15.76,102.8,0.579956513,0.648176128,0.521288792
36,36,0,1dpos,zone,5FTE,SV,,,rbf,5.753223952,balanced,0.032937807,,,0.54238387,0.115021799,0.605376557,0.000634387,0.233919747,0.134748995,55.88,479.8,0.606246294,0.64030595,0.525716545
37,37,0,1dpos,zone,WTE,SV,,,poly,0.228404547,balanced,0.984514942,2,-0.25050874,0.512528168,0.148882417,0.603202214,0.000108267,0.154141135,0.063282232,123.3,936,0.603281281,0.636240792,0.516663372
38,38,0,1dpos,zone,onehot,SV,,,poly,0.065665638,balanced,0.148583338,3,0.226311764,0.555082032,0.108420962,0.611306582,0.003490385,0.264004744,0.139204089,63.32,179,0.617513343,0.64339227,0.530934967
39,39,0,cyclic,2dpos,5FTE,SV,8,2500,rbf,1.050652699,balanced,0.141118938,,,0.545696778,0.11171359,0.626526982,0.0015413,0.274322989,0.144572572,390.02,3460.4,0.628187389,0.647249619,0.563510575
40,40,0,cyclic,2dpos,5FTE,SV,8,5000,poly,0.001869606,balanced,0.383641625,3,-0.274740147,0.535394347,0.090921634,0.606523028,0.004655899,0.31777031,0.000265199,45.94,119.6,0.611780984,0.643504174,0.544178691
41,41,0,cyclic,2dpos,5FTE,SV,8,10000,rbf,1.751627774,,0.098533786,,,0.538644001,0.129641033,0.626368848,0.002180623,0.20699743,0.128496084,51.1,70.8,0.628978059,0.650439081,0.565882585
42,42,0,cyclic,2dpos,5FTE,SV,16,2500,poly,0.004371028,balanced,0.124576115,3,0.041924774,0.542047836,0.10750784,0.628582724,0.005578638,0.270132437,0.075431543,47.36,90.8,0.637280095,0.639611036,0.560189761
43,43,0,cyclic,2dpos,5FTE,SV,16,5000,rbf,0.968688648,balanced,0.055999224,,,0.563249654,0.124042909,0.636015023,0.000409892,0.242261316,0.126079855,56.04,77.2,0.636687092,0.646492479,0.567582526
44,44,0,cyclic,2dpos,5FTE,SV,16,10000,poly,0.001365554,,0.12259132,4,0.290563607,0.525186796,0.136586918,0.62605258,0.004039872,0.19153983,0.091713577,58.18,146.6,0.631547737,0.639247283,0.560940897
45,45,0,cyclic,2dpos,5FTE,SV,24,2500,rbf,1.467694229,balanced,0.031242316,,,0.552263293,0.11456805,0.632654675,0.003291624,0.28009488,0.158465197,70.28,166.2,0.638268432,0.642030988,0.569084799
46,46,0,cyclic,2dpos,5FTE,SV,24,5000,rbf,3.653575812,balanced,0.039174213,,,0.545807472,0.117305666,0.63000593,0.000599555,0.277248468,0.046524696,60.7,114,0.630757067,0.642259798,0.568966199
47,47,0,cyclic,2dpos,5FTE,SV,24,10000,poly,0.002428944,balanced,0.065172811,4,0.4943537,0.555659221,0.097351818,0.632970943,0.000877341,0.322672465,0.068336896,74.1,264.2,0.633722079,0.63795453,0.562838506
48,48,0,cyclic,2dpos,WTE,SV,8,2500,rbf,1.689494557,,0.118923521,,,0.554959478,0.092123957,0.622099229,0.004670144,0.340185807,0.14044747,51.74,96,0.627792054,0.650318644,0.562917573
49,49,0,cyclic,2dpos,WTE,SV,8,5000,rbf,1.390612543,balanced,0.109125224,,,0.557979838,0.108990036,0.631864005,0.001726623,0.28606444,0.153474888,48.94,92,0.633919747,0.643699548,0.565091915
50,50,0,cyclic,2dpos,WTE,SV,8,10000,rbf,1.699330363,balanced,0.105149465,,,0.556762206,0.097937252,0.629136193,0.001983582,0.306226527,0.116103583,81.34,135.6,0.632140739,0.645052011,0.561929235
51,51,0,cyclic,2dpos,WTE,SV,16,2500,rbf,1.238472001,balanced,0.027497562,,,0.571520063,0.096399207,0.636963827,0.001443108,0.321565527,0.074481899,85.14,295.8,0.638268432,0.647943567,0.56694999
52,52,0,cyclic,2dpos,WTE,SV,16,5000,poly,0.003603945,,0.11226152,4,0.110133832,0.548021348,0.095070284,0.629926863,0.00249406,0.319509785,0.003935024,74.48,363,0.633129077,0.639266473,0.563233841
53,53,0,cyclic,2dpos,WTE,SV,16,10000,poly,0.040787142,balanced,0.062822344,3,0.08557247,0.552583515,0.117159594,0.633445345,0.004427929,0.254358569,0.142670936,55.18,129.8,0.6384661,0.640484924,0.55995256
54,54,0,cyclic,2dpos,WTE,SV,24,2500,rbf,4.765250932,,0.00581763,,,0.556185017,0.074809992,0.605455624,0.011638069,0.361019964,0.072716076,151.04,600,0.622850366,0.639727673,0.556394544
55,55,0,cyclic,2dpos,WTE,SV,24,5000,poly,4.862382421,balanced,0.006437823,2,0.171919241,0.557276142,0.119502434,0.62233643,0.001088069,0.23237794,0.13893219,59.38,172.6,0.624234038,0.638582544,0.553113263
56,56,0,cyclic,2dpos,WTE,SV,24,10000,rbf,2.099252554,balanced,0.013988368,,,0.566554655,0.091871295,0.631864005,0.001964779,0.340936944,0.101718563,65.54,95.6,0.634908085,0.640927927,0.565724451
57,57,0,cyclic,2dpos,onehot,SV,8,2500,poly,0.008273586,balanced,0.151896616,3,0.215383611,0.540901364,0.111765974,0.625143309,0.003167618,0.275074125,0.095206373,58.88,124.6,0.628187389,0.6444116,0.554457403
58,58,0,cyclic,2dpos,onehot,SV,8,5000,rbf,2.485116655,,0.062064404,,,0.564865203,0.074924798,0.621150425,0.002127108,0.388219016,0.103425175,50.40816327,91,0.624827041,0.654901265,0.566119787
59,59,0,cyclic,2dpos,onehot,SV,8,10000,rbf,1.777190184,,0.116763425,,,0.552595375,0.096659052,0.625103775,0.005551608,0.296540818,0.116712119,60.44,154.4,0.631943072,0.655442789,0.570428939
60,60,0,cyclic,2dpos,onehot,SV,16,2500,rbf,0.916420591,balanced,0.033107125,,,0.57467879,0.074291936,0.635777822,0.001140663,0.398972129,0.068679666,65.1,123.2,0.63767543,0.651881843,0.568887132
61,61,0,cyclic,2dpos,onehot,SV,16,5000,poly,0.406262161,,0.028792429,3,0.075554064,0.557272188,0.108349637,0.628385056,0.006618173,0.281676221,0.167971285,57.3,130.2,0.637280095,0.648782143,0.571259142
62,62,0,cyclic,2dpos,onehot,SV,16,10000,rbf,1.313692379,balanced,0.036629925,,,0.559027476,0.120449108,0.637161494,0.002140841,0.240561376,0.105938636,56.08,93,0.639849773,0.647999117,0.569875469
63,63,0,cyclic,2dpos,onehot,SV,24,2500,rbf,1.310732057,balanced,0.03137373,,,0.578897015,0.099567385,0.636963827,0.003548669,0.320260921,0.128281304,59.14,90,0.641233445,0.643074475,0.569005732
64,64,0,cyclic,2dpos,onehot,SV,24,5000,poly,0.225053317,balanced,0.019580749,4,0.294874537,0.570231271,0.079661118,0.63225934,0.005493237,0.367582526,0.057563281,68.08,213.4,0.639059103,0.64567257,0.562285037
65,65,0,cyclic,2dpos,onehot,SV,24,10000,rbf,1.185638465,balanced,0.032924847,,,0.564467286,0.118985641,0.641193912,0.000962298,0.247321605,0.121407161,106.16,154,0.642617118,0.64949591,0.571931212
66,66,0,cyclic,elliptic,5FTE,SV,,,rbf,1.047247636,balanced,0.427118533,,,0.548254596,0.088297271,0.608815972,0.00158134,0.327930421,0.127007883,72.66,344,0.611385649,0.641702169,0.539157936
67,67,0,cyclic,elliptic,WTE,SV,,,rbf,4.708010302,balanced,0.165526864,,,0.558675628,0.088803988,0.613599526,0.001147494,0.331172168,0.102550646,92.68,578.6,0.615536667,0.640540471,0.534809251
68,68,0,cyclic,elliptic,onehot,SV,,,rbf,1.494963339,balanced,0.197629877,,,0.569318047,0.062517624,0.614745997,0.000998172,0.408578771,0.056800271,581.52,5407.6,0.615932002,0.643753424,0.538762601
69,69,0,cyclic,polar,5FTE,SV,,,rbf,0.611611826,balanced,0.869508948,,,0.567479739,0.06499246,0.618659814,0.00409272,0.406443961,0.077522395,48.28,118.4,0.623443368,0.638084648,0.541016011
70,70,0,cyclic,polar,WTE,SV,,,rbf,2.3183422,balanced,0.675146376,,,0.550488239,0.097328979,0.609567108,0.001213685,0.287803914,0.089357527,39.74,59.2,0.611583317,0.644395,0.548329709
71,71,0,cyclic,polar,onehot,SV,,,rbf,3.034470385,,0.197307527,,,0.546400474,0.097903603,0.606641629,0.001511866,0.282901759,0.110180399,71.14,157.6,0.608222969,0.646042954,0.550859854
72,72,0,cyclic,raw,5FTE,SV,,,rbf,4.636517779,balanced,0.526728624,,,0.56373987,0.046603172,0.598220992,0.001846896,0.461830401,0.085703359,52.9,197.8,0.601304606,0.639586387,0.524925875
73,73,0,cyclic,raw,WTE,SV,,,rbf,1.572731839,balanced,0.954168037,,,0.563641036,0.054102011,0.605653291,0.001605859,0.448151809,0.102003758,67.46,108.6,0.608222969,0.642562892,0.528444357
74,74,0,cyclic,raw,onehot,SV,,,rbf,1.230376576,balanced,0.405754955,,,0.549855703,0.078353356,0.591856098,0.004407587,0.374856691,0.170391389,136.06,794.8,0.599525598,0.646469945,0.526981617
75,75,0,cyclic,zone,5FTE,SV,,,poly,0.976163355,balanced,0.596732308,2,0.190866742,0.576817553,0.071847212,0.61162285,0.000548505,0.431864005,0.172240815,83.58,327.2,0.612373987,0.641146193,0.537932398
76,76,0,cyclic,zone,WTE,SV,,,rbf,0.947014005,balanced,0.988633269,,,0.56912038,0.095982235,0.610594979,0.001518313,0.355287606,0.214928444,112.4,534.6,0.613164657,0.642903548,0.535244119
77,77,0,cyclic,zone,onehot,SV,,,rbf,2.334784101,balanced,0.161635438,,,0.554287409,0.111836376,0.61162285,0.002202907,0.252500494,0.130170675,98.5,305.4,0.615536667,0.640858364,0.541727614
78,78,0,raw,2dpos,5FTE,SV,8,2500,rbf,1.186641887,,0.123888526,,,0.525633524,0.132443717,0.626566515,0.00175913,0.224985175,0.103237662,87.06,176.2,0.629175726,0.650447516,0.569005732
79,79,0,raw,2dpos,5FTE,SV,8,5000,poly,0.010820157,balanced,0.126306571,3,0.075510483,0.54850761,0.086740159,0.618936549,0.002207337,0.341095078,0.054956833,64.18,157.6,0.622257363,0.644921867,0.546511168
80,80,0,raw,2dpos,5FTE,SV,8,10000,rbf,1.262239513,balanced,0.100412621,,,0.56067207,0.09109671,0.627278118,0.004607392,0.323265467,0.061829441,47.08,86.2,0.633524412,0.650720625,0.562482704
81,81,0,raw,2dpos,5FTE,SV,16,2500,rbf,1.175919304,balanced,0.042159735,,,0.563051987,0.114273659,0.63542202,0.002131696,0.266139553,0.127563079,66.2,158.2,0.638663768,0.64621136,0.567147658
82,82,0,raw,2dpos,5FTE,SV,16,5000,rbf,1.396400637,balanced,0.028947031,,,0.544443566,0.123750267,0.636410358,0.00067901,0.275074125,0.095206373,74.18,227.4,0.637477762,0.647393358,0.565605851
83,83,0,raw,2dpos,5FTE,SV,16,10000,rbf,0.845714896,balanced,0.043680914,,,0.562815915,0.106587664,0.636687092,0.000503955,0.304328919,0.108796858,68.02040816,164.6,0.637477762,0.647547899,0.567661593
84,84,0,raw,2dpos,5FTE,SV,24,2500,poly,0.004474148,balanced,0.087819252,3,0.026573413,0.54931014,0.100402395,0.634552283,0.002224967,0.324609607,0.04497086,59.82,142,0.637082427,0.638988894,0.565408183
85,85,0,raw,2dpos,5FTE,SV,24,5000,rbf,1.729331104,,0.01593387,,,0.554544376,0.116376798,0.627357185,0.001002079,0.252935363,0.116602696,76.08,129.4,0.628385056,0.644578945,0.569045266
86,86,0,raw,2dpos,5FTE,SV,24,10000,poly,0.800563024,balanced,0.010442375,4,0.487583742,0.575805495,0.074640142,0.630480332,0.004263849,0.381814588,0.06410672,81.16,303.4,0.635896422,0.639636649,0.561217632
87,87,0,raw,2dpos,WTE,SV,8,2500,poly,0.020553448,balanced,0.093444809,4,0.238568841,0.546590235,0.097622202,0.62842459,0.003712257,0.314449496,0.125172824,44.14,117,0.632140739,0.643724503,0.56086183
88,88,0,raw,2dpos,WTE,SV,8,5000,rbf,1.22032847,balanced,0.09995694,,,0.558761714,0.099661212,0.628266456,0.002744662,0.29464321,0.05595241,66.20408163,267,0.632931409,0.6439866,0.561019964
89,89,0,raw,2dpos,WTE,SV,8,10000,poly,0.034151391,balanced,0.093990882,4,0.103766407,0.56068393,0.072641268,0.624906108,0.004217782,0.382605258,0.088909261,47.28,155.6,0.629175726,0.643678919,0.549831983
90,90,0,raw,2dpos,WTE,SV,16,2500,rbf,2.162812062,balanced,0.033720396,,,0.554504843,0.093814793,0.628464123,0.003237767,0.319391184,0.002995821,58.78,113.8,0.633722079,0.643612698,0.564143111
91,91,0,raw,2dpos,WTE,SV,16,5000,poly,2.676564924,,0.013081454,4,0.41655847,0.537801937,0.125682281,0.626329314,0.00221264,0.213006523,0.096173081,55.86,147.2,0.629175726,0.649335147,0.568728998
92,92,0,raw,2dpos,WTE,SV,16,10000,poly,0.961588487,balanced,0.020427365,4,0.119085512,0.563652896,0.100287744,0.637438229,0.002357139,0.310496145,0.12483924,66.04,189.8,0.640640443,0.644208611,0.566475588
93,93,0,raw,2dpos,WTE,SV,24,2500,poly,0.563495672,balanced,0.018354442,4,0.037852696,0.559725847,0.088586735,0.633603479,0.002316171,0.353469065,0.066831854,60.95918367,121.6,0.63688476,0.634745485,0.566396521
94,94,0,raw,2dpos,WTE,SV,24,5000,poly,0.174613593,balanced,0.025775652,3,0.226947932,0.565878632,0.084366677,0.632970943,0.00104034,0.387744614,0.051752967,56.62,115,0.634710417,0.639030603,0.5616525
95,95,0,raw,2dpos,WTE,SV,24,10000,rbf,2.111594564,balanced,0.019177579,,,0.574651117,0.089116481,0.630994268,0.000899333,0.346669302,0.084534637,77.76,168.4,0.632338407,0.640013756,0.564854714
96,96,0,raw,2dpos,onehot,SV,8,2500,rbf,2.138975303,balanced,0.112490293,,,0.55923305,0.083712332,0.630717533,0.002220573,0.37608223,0.095824273,49.76,87.4,0.633919747,0.651725491,0.567542993
97,97,0,raw,2dpos,onehot,SV,8,5000,poly,0.034335677,balanced,0.086658644,4,0.047414815,0.567701127,0.088181719,0.62988733,0.001293175,0.317691243,8.84E-05,36.96,68.8,0.631152402,0.65097768,0.5616525
98,98,0,raw,2dpos,onehot,SV,8,10000,rbf,2.158380728,,0.061795869,,,0.5712067,0.076288811,0.623838703,0.003292811,0.391342162,0.122464834,79.06122449,391,0.626606049,0.655352006,0.567226725
99,99,0,raw,2dpos,onehot,SV,16,2500,rbf,2.082969076,balanced,0.029470268,,,0.550484285,0.132068911,0.637201028,0.001207229,0.230045464,0.106384745,64.12,96.4,0.638861435,0.64729657,0.568452263
100,100,0,raw,2dpos,onehot,SV,16,5000,rbf,2.17243585,balanced,0.024726106,,,0.558426889,0.126769957,0.636331291,0.001434963,0.240166041,0.123824781,89.75510204,139,0.63767543,0.651829354,0.571021941
101,101,0,raw,2dpos,onehot,SV,16,10000,rbf,0.898173858,balanced,0.05343594,,,0.570157852,0.109759947,0.635066219,0.001632403,0.268551097,0.080520539,97.91836735,167.6,0.637082427,0.647567194,0.571140542
102,102,0,raw,2dpos,onehot,SV,24,2500,rbf,1.327340052,,0.019326511,,,0.570496145,0.083866622,0.629057126,0.001509279,0.370626606,0.058457977,105.2,165.2,0.631547737,0.647895965,0.569638268
103,103,0,raw,2dpos,onehot,SV,24,5000,rbf,1.404653803,balanced,0.020425271,,,0.548883178,0.13316362,0.636252224,0.002135358,0.2,0.110724112,114.24,230,0.63925677,0.644551457,0.56390591
104,104,0,raw,2dpos,onehot,SV,24,10000,rbf,1.508565715,balanced,0.010744411,,,0.562561771,0.098114986,0.636054556,0.001138949,0.324728207,0.077756535,105.6,184,0.637477762,0.646448348,0.564775647
105,105,0,raw,elliptic,5FTE,SV,,,rbf,3.045355837,balanced,0.276792211,,,0.571875865,0.06584412,0.617236608,0.00109701,0.411346116,0.092697323,129.4,738.4,0.618897015,0.640141868,0.548645977
106,106,0,raw,elliptic,WTE,SV,,,rbf,2.964591621,balanced,0.403003119,,,0.569476181,0.069182094,0.615497134,0.000380221,0.405218423,0.11364877,94.46,352.6,0.61612967,0.641854979,0.540027673
107,107,0,raw,elliptic,onehot,SV,,,rbf,1.493986841,balanced,0.229643584,,,0.574797391,0.052289772,0.618976082,0.001174418,0.455584108,0.078021903,41.96,81,0.620478355,0.646135086,0.543585689
108,108,0,raw,polar,5FTE,SV,,,rbf,0.612515125,balanced,0.537609176,,,0.559703499,0.071532129,0.615259933,0.002090048,0.38003558,0.093831776,109.4,540.6,0.618699348,0.647822821,0.554180668
109,109,0,raw,polar,WTE,SV,,,rbf,0.819251537,balanced,0.904273721,,,0.563328721,0.088536523,0.620715556,0.002690022,0.321407393,0.067955668,72.6,132,0.625024708,0.644472955,0.543427555
110,110,0,raw,polar,onehot,SV,,,rbf,2.204016211,,0.386357709,,,0.561186167,0.083168869,0.61241352,0.001121665,0.339553271,0.088418762,210.6326531,1476.6,0.614350662,0.645710054,0.549594782
111,111,0,raw,raw,5FTE,SV,,,rbf,0.968719898,balanced,0.959165804,,,0.556778019,0.083105845,0.608222969,0.002178831,0.370428939,0.163791251,207.92,1741,0.610001977,0.642980247,0.528167622
112,112,0,raw,raw,WTE,SV,,,rbf,1.582089532,balanced,0.923636873,,,0.5661356,0.070671406,0.607709033,0.000857066,0.413994861,0.156327058,69.26,366.4,0.608420636,0.644519767,0.530341965
113,113,0,raw,raw,onehot,SV,,,rbf,1.402170317,balanced,0.628419678,,,0.552615141,0.082518502,0.605139356,0.00224333,0.339474204,0.125825091,377,3191.4,0.606839296,0.646127856,0.531211702
114,114,0,raw,zone,5FTE,SV,,,rbf,1.531328048,balanced,0.59192732,,,0.582776301,0.036968424,0.612532121,0.000731637,0.48697371,0.023511885,69.06122449,324.6,0.613362325,0.646119415,0.53919747
115,115,0,raw,zone,WTE,SV,,,rbf,3.544439023,,0.992917305,,,0.553093497,0.102024006,0.614469263,0.000299778,0.287250445,0.10448635,237.94,1767,0.614943665,0.649673055,0.546787903
116,116,0,raw,zone,onehot,SV,,,rbf,1.449574923,balanced,0.295526324,,,0.566270014,0.114820604,0.623720103,0.001749106,0.249851749,0.129794959,84.54,117.6,0.626408381,0.650873149,0.551334256
117,117,1,1dpos,2dpos,5FTE,SV,8,2500,rbf,0.81876324,balanced,0.043366005,,,0.533077683,0.116348285,0.615339,0.001226495,0.245265863,0.099216141,86.2,146.6,0.616525005,0.646531955,0.549199447
118,118,1,1dpos,2dpos,5FTE,SV,8,5000,rbf,1.328392922,balanced,0.051045235,,,0.544866574,0.09942661,0.617631943,0.00177681,0.307452066,0.116764851,119.22,472.8,0.619885353,0.645938104,0.553192331
119,119,1,1dpos,2dpos,5FTE,SV,8,10000,poly,1.305786192,,0.506831732,4,0.332383566,0.534081834,0.10071491,0.588060882,0.000726277,0.278869342,0.157262895,61.06,107,0.588851552,0.632974131,0.515912236
120,120,1,1dpos,2dpos,5FTE,SV,16,2500,rbf,2.158275811,balanced,0.027835976,,,0.570116624,0.076429502,0.627515319,0.002066548,0.378730975,0.042636202,107.4,194,0.630559399,0.644503206,0.558727021
121,121,1,1dpos,2dpos,5FTE,SV,16,5000,rbf,2.141671418,,0.021673989,,,0.515841075,0.145086059,0.623522435,0.002066548,0.204111484,0.103687177,103.54,177.2,0.626408381,0.645385346,0.560782763
122,122,1,1dpos,2dpos,5FTE,SV,16,10000,rbf,1.128365803,,0.032405419,,,0.556208737,0.108567982,0.624392172,0.001086273,0.266179087,0.074837535,97,149.8,0.625024708,0.647228617,0.564775647
